tag,action_scale,cpg_speed,cpg_amp,cpg_mix,action_smooth,distance,quick_gif
a12_s100_amp10_m0_sm60,1.2,1.0,1.0,0.0,0.6,0.37,ant_full_quick_a12_s100_amp10_m0_sm60.gif
a12_s100_amp10_m0_sm75,1.2,1.0,1.0,0.0,0.75,2.273,ant_full_quick_a12_s100_amp10_m0_sm75.gif
a12_s100_amp10_m0_sm85,1.2,1.0,1.0,0.0,0.85,2.547,ant_full_quick_a12_s100_amp10_m0_sm85.gif
a12_s100_amp10_m5_sm60,1.2,1.0,1.0,0.05,0.6,4.606,ant_full_quick_a12_s100_amp10_m5_sm60.gif
a12_s100_amp10_m5_sm75,1.2,1.0,1.0,0.05,0.75,3.182,ant_full_quick_a12_s100_amp10_m5_sm75.gif
a12_s100_amp10_m5_sm85,1.2,1.0,1.0,0.05,0.85,1.312,ant_full_quick_a12_s100_amp10_m5_sm85.gif
a12_s100_amp10_m10_sm60,1.2,1.0,1.0,0.1,0.6,3.883,ant_full_quick_a12_s100_amp10_m10_sm60.gif
a12_s100_amp10_m10_sm75,1.2,1.0,1.0,0.1,0.75,3.459,ant_full_quick_a12_s100_amp10_m10_sm75.gif
a12_s100_amp10_m10_sm85,1.2,1.0,1.0,0.1,0.85,2.555,ant_full_quick_a12_s100_amp10_m10_sm85.gif
a12_s125_amp10_m0_sm60,1.2,1.25,1.0,0.0,0.6,-0.082,ant_full_quick_a12_s125_amp10_m0_sm60.gif
a12_s125_amp10_m0_sm75,1.2,1.25,1.0,0.0,0.75,0.018,ant_full_quick_a12_s125_amp10_m0_sm75.gif
a12_s125_amp10_m0_sm85,1.2,1.25,1.0,0.0,0.85,-0.085,ant_full_quick_a12_s125_amp10_m0_sm85.gif
a12_s125_amp10_m5_sm60,1.2,1.25,1.0,0.05,0.6,0.116,ant_full_quick_a12_s125_amp10_m5_sm60.gif
a12_s125_amp10_m5_sm75,1.2,1.25,1.0,0.05,0.75,-0.036,ant_full_quick_a12_s125_amp10_m5_sm75.gif
