action,cpg_speed,cpg_amp,distance,gif
1.2,1.0,1.0,1.851,ant_rc_sweep_a1p2_s1p0_amp1p0.gif
1.2,1.0,1.1,1.450,ant_rc_sweep_a1p2_s1p0_amp1p1.gif
1.2,1.25,1.0,0.110,ant_rc_sweep_a1p2_s1p25_amp1p0.gif
1.2,1.25,1.1,0.724,ant_rc_sweep_a1p2_s1p25_amp1p1.gif
1.2,1.5,1.0,0.204,ant_rc_sweep_a1p2_s1p5_amp1p0.gif
1.2,1.5,1.1,-0.125,ant_rc_sweep_a1p2_s1p5_amp1p1.gif
1.4,1.0,1.0,1.444,ant_rc_sweep_a1p4_s1p0_amp1p0.gif
1.4,1.0,1.1,2.137,ant_rc_sweep_a1p4_s1p0_amp1p1.gif
1.4,1.25,1.0,0.539,ant_rc_sweep_a1p4_s1p25_amp1p0.gif
1.4,1.25,1.1,0.059,ant_rc_sweep_a1p4_s1p25_amp1p1.gif
1.4,1.5,1.0,0.089,ant_rc_sweep_a1p4_s1p5_amp1p0.gif
1.4,1.5,1.1,0.043,ant_rc_sweep_a1p4_s1p5_amp1p1.gif
1.6,1.0,1.0,2.604,ant_rc_sweep_a1p6_s1p0_amp1p0.gif
1.6,1.0,1.1,1.950,ant_rc_sweep_a1p6_s1p0_amp1p1.gif
1.6,1.25,1.0,0.039,ant_rc_sweep_a1p6_s1p25_amp1p0.gif
1.6,1.25,1.1,-0.494,ant_rc_sweep_a1p6_s1p25_amp1p1.gif
1.6,1.5,1.0,0.010,ant_rc_sweep_a1p6_s1p5_amp1p0.gif
1.6,1.5,1.1,0.027,ant_rc_sweep_a1p6_s1p5_amp1p1.gif
